,Title,Location,Price,Details,city
0,5 Marla Brand New Modern Designer Bungalow For Sale Near To Park In Dha 9 Town,"DHA 9 Town, DHA Defence",790000000.0,"NEW HIRA ESTATE OFFER
5 MARLA BRAND",Lahore
1,1KANAL EYE CATCHING MOST AWAITED VICTORIAN BUNGALOW FOR SALE,"DHA Phase 5, DHA Defence",860000000.0,LEADS ESTATES beautiful Elegant Mod,Lahore
2,3 Years Installment Plus Cash Based 3 Marla Spanish House Near Thokar Niazbaig Lahore,"Thokar Niaz Baig, Lahore",7900000.0,Jazac City Lahore is ideally locate,Lahore
3,5 Years Installment Base 3 Marla Beautiful House In Rehan garden phase 2 at main Ferozepur road Lahore.,"Ferozepur Road, Lahore",9000000.0,Rehan garden phase 2 Lahore is idea,Lahore
4,05 MARLA BRAND NEW SUPER LUXURY HOUSE FOR SALE IN DHA PHASE 9.,"DHA 9 Town - Block A, DHA 9 Town",9000000.0,05 MARLA BRAND NEW SUPER LUXURY HOU,Lahore
5,Modern Corner Style 10 Marla House With Extra Rooms In Phase 6,"DHA Phase 6, DHA Defence",0.0,"Amazing Woodwork, All Teak Wood Ash",Lahore
6,Prime Location Lake City - Sector M7 - Block A House For sale Sized 9 Marla,"Lake City - Sector M7 - Block A, Lake City - Sector M-7",0.0,9 Marla brand new house for sale in,Lahore
7,Kanal Single Storey Beautiful House For Sale In Chinar Bagh Lda Approved 50 Ft Rd Near Park Demand 280 Lac,"Chinar Bagh, Lahore",0.0,One kanal single storey beautiful h,Lahore
8,One Kanal Corner Double Storey House For Sale In Chinar Bagh Housing Society Demand 450 Lac,"Chinar Bagh, Lahore",0.0,One kanal corner double storey hous,Lahore
9,Elegant Design Brand New Bungalow,"DHA Phase 7, DHA Defence",0.0,1 Kanal Antique Design Kanal Brand,Lahore
10,16 Marla Brand New Modern Designed Lavish House Servant Quarter Basements Very Cheapest Price,"State Life Phase 1 - Block B, State Life Housing Phase 1",750000000.0,"HOME REAL ESTATE AND BUILDER

About",Lahore
11,5 Marla Spanish House for sale,"Bedian Road, Lahore",0.0,"5 Marla Spanish House for sale 

Lo",Lahore
12,Highly-coveted 5 Marla House Is Available In Kahna For sale,"Kahna, Lahore",250000000.0,Know that this House right here is,Lahore
13,5 Marla House For sale In Central Park Housing Scheme,"Central Park Housing Scheme, Lahore",6500000.0,We offer you just the right House t,Lahore
14,Ideal House For sale In Central Park Housing Scheme,"Central Park Housing Scheme, Lahore",850000000.0,Look no further as we have listed t,Lahore
15,Stunning House Is Available For sale In Central Park Housing Scheme,"Central Park Housing Scheme, Lahore",0.0,The House you were looking for is n,Lahore
16,Get In Touch Now To Buy A 3 Marla House In Kahna,"Kahna, Lahore",0.0,House for a comfortable living in t,Lahore
17,brand new 10 marla first entery spanish leatest golden house available for sale in johertown with geniune orignal pics by fast property services real estate and builders .,"Johar Town, Lahore",7200000.0,10 marla brand new luxery house wel,Lahore
18,Buying A House In Marghzar Officers Colony Marghzar Officers Colony?,"Marghzar Officers Colony, Lahore",0.0,Owning a House like this one is a d,Lahore
19,Prime Location,"Marghzar Officers Colony, Lahore",0.0,The House is beautifully designed f,Lahore
20,Single Storey,"Marghzar Officers Colony, Lahore",0.0,The House is surrounded by all kind,Lahore
21,Easy Installment Plan 1 Bed Apartment For Sale Located In Sector E Bahria Town Lahore,"Bahria Town - Sector E, Bahria Town",0.0,EASY INSTALLMENT PLAN 1 BED APARTME,Lahore
22,1 Kanal Brand New Luxury Bungalow For Sale In DHA Phase 7 Near To Park,"DHA Phase 7 - Block S, DHA Phase 7",6200000.0,HOME REAL ESTATES beautiful Elegant,Lahore
23,Full Furnished Most Antique Design Luxuy Palace,"DHA Phase 6, DHA Defence",0.0,1 Kanal Antique Design Kanal Brand,Lahore
24,Brand New 1 Bed Apartmetn For Sale Located In Sector C Bahria Town Lahore,"Bahria Town - Sector C, Bahria Town",250000000.0,Brand New 1 Bed Apartmetn For Sale,Lahore
25,Brand New One Kanal House For Sale at Prime Location,"DHA Defence Phase 2, DHA Defence",0.0,Newly Constructed At A Very Peacefu,Islamabad
26,25x40 Brand New Triple Storey House Is Available For Sale In D-12 3 CDA transfer Gas Connection Available,"D-12/3, D-12",0.0,25x40 Brand New Triple Storey House,Islamabad
27,A Palatial Residence For sale In I-8/4 Islamabad,"I-8/4, I-8",797900000.0,Triple Story House Is Available For,Islamabad
28,912 Square Feet Flat In I-16 For sale,"I-16, Islamabad",150000000.0,"Flat For Sale In I_16
Size 912 Sqft",Islamabad
29,Park view city Islamabad 5 Marla villas Available on easy Monthly Installments,"Park View City, Islamabad",5000000.0,Park view city Islamabad 5 Marla vi,Islamabad
30,12 MARLA ELEGANT BRAND NEW DOUBLE STORY HOUSE FOR SALE,"CBR Town Phase 1 - Block C, CBR Town Phase 1",439900000.0,12 marla brand new double story hou,Islamabad
31,"Ideal Prime Location 10 Marla House has landed on market in D-12, D-12","D-12, Islamabad",0.0,Brand New Designer Double Storey On,Islamabad
32,12 Marla House In G13,"G-13, Islamabad",0.0,"40*80 House For Sale In G13
brand N",Islamabad
33,2 Bed 2 Bath Flat For Sale First Floor Pha G-10,"G-10, Islamabad",130000000.0,"2 bed
2 bath
Tv lounge
Kitchen
GAS",Islamabad
34,2 Bedroom Apartment Available In Eighteen - Golf Course View,"Eighteen, Kashmir Highway",0.0,Eighteen is a perfect residential s,Islamabad
35,Askari Tower 3 Brand- New Apartment For Sale In Dha Phase 3 Islamabad,"DHA Defence Phase 3, DHA Defence",150000000.0,If you're looking for a luxurious a,Islamabad
36,One kanal Brand-new house for sale in DHA phase 2 Islamabad,"DHA Defence Phase 2, DHA Defence",390000000.0,If you're looking for a luxurious a,Islamabad
37,1 kanal House Available For sale in dha phase 2,"DHA Defence Phase 2, DHA Defence",0.0,"About the property
6)Bedrooms With",Islamabad
38,7 Marla Brand New 1.5 Storey house for sale in Jinnah Garden Phase 1 Islamabad,"Jinnah Gardens Phase 1, Jinnah Gardens",100000000.0,"Welcome to your Dream home!
This be",Islamabad
39,D-17 MVHS 2 bed flat available for sale in main markaz,"D-17, Islamabad",0.0,D-17 MVHS 2 bed flat available for,Islamabad
40,D-17 MVHS main markaz 2 bed flat available for sale,"D-17, Islamabad",0.0,D-17 MVHS main markaz 2 bed flat av,Islamabad
41,D17/2 MVHS J7 Building 1 Bed Flat Available For Sale,"D-17, Islamabad",5200000.0,D17/2 MVHS J7 building 1 bed flat a,Islamabad
42,6.6 Corner Full House For Sale In Faisal Town Block A,"Faisal Town - F-18, Islamabad",6500000.0,2560 Corner Full House For Sale in,Islamabad
43,1 Bed Flat For Sale In Faisal Town Block A,"Faisal Town - F-18, Islamabad",7000000.0,1 Bed Flat For Sale in Faisal TOWN,Islamabad
44,D17/2 MVHS brand new MDR good location house available for sale,"D-17, Islamabad",0.0,D17/2 MVHS brand new MDR beautiful,Islamabad
45,10 Marla Unique Designed House In Top Notch Society Bahria Enclave,"Bahria Enclave - Sector J, Bahria Enclave",5700000.0,Letting You Find Homes With Perfect,Islamabad
46,D17 MVHS main markaz 1 bed flat available for sale,"D-17, Islamabad",250000000.0,D17 MVHS 1 bed flat available for s,Islamabad
47,D17/2 MVHS 2 bed flat available for sale main markaz,"D-17, Islamabad",0.0,D-17/2 MVHS 2 bed flat available fo,Islamabad
48,10 Marla Top Heighted Back Open Brand New House For Sale,"Bahria Enclave - Sector C3, Bahria Enclave",3500000.0,"Aasalam u Alaikum 

We Help You Fin",Islamabad
49,5 Marla Brand New House Available For Sale,"Bahria Enclave - Sector N, Bahria Enclave",6400000.0,We Help You To Find Property With P,Islamabad
50,272 Sq Yard Villa Available For Sale At Good Location Of Bahria Town Karachi,"Bahria Town - Precinct 30, Bahria Town Karachi",0.0,"COUNSTRUCT YOUR 272,SQYD PRECINT 30",Karachi
51,300 yards Bungalow with Basement Available for Sale on Booking,"DHA Phase 6, DHA Defence",250000000.0,300 yards Beautiful House is availa,Karachi
52,Aesthetically Designed Fully Renovated Bungalow,"DHA Phase 4, DHA Defence",990000000.0,"Newly Renovated Like Brand New!

50",Karachi
53,"Precint 31, 235sq yds Villa Available For Sale At Good Location of Bahria Town Karachi","Bahria Town - Precinct 31, Bahria Town Karachi",110000000.0,235 sq yds Villa In Just Rs:160lacs,Karachi
54,dha phase 300 sq yard bunglow for sale 2+3Bedroom drawing dining kitchen cabinets out class solid construction work solid wood work important tile important fixtures fitting owner built,"DHA Phase 4, DHA Defence",450000000.0,dha phase 300 sq yard bunglow for s,Karachi
55,2 Bed Flat For Sale At Court Regency,"Callachi Cooperative Housing Society, Karachi",210500000.0,Beautiful Brand New apartment for s,Karachi
56,Flat For sale in Saima Twin Towers,"KDA Scheme 1, Karachi",10250000000.0,Beautiful Spacious Apartment for sa,Karachi
57,Brand new apartment at Al Raheem Corner,"Shaheed Millat Road, Karachi",0.0,Beautiful Brand New apartment for s,Karachi
58,3 Bedrooms Luxury Villa for Sale in Bahria Town Precinct 10a,"Bahria Town - Precinct 10-A, Bahria Town Karachi",0.0,Bahria Town is a pioneer in Pakista,Karachi
59,Prime Location 500 Square Yards House For sale Is Available In Falcon Complex New Malir,"Falcon Complex New Malir, Malir",0.0,Practicality as well as design have,Karachi
60,Elegant 272 sq yards Villa precint 1 Bahria town,"Bahria Town - Precinct 1, Bahria Town Karachi",650000000.0,The key features of Precint 1 272 s,Karachi
61,Brand new 152 sq yards villa West open 10B bahria,"Bahria Town - Precinct 10-B, Bahria Town Karachi",0.0,"*Investment Opportunity*

*P-10B vi",Karachi
62,Flat For sale In North Nazimabad - Block H Karachi,"North Nazimabad - Block H, North Nazimabad",50000000.0,"3rd floor flat
2 bedrooms
Drawing r",Karachi
63,Buy your ideal 700 Square Feet Flat in a prime location of Karachi,"North Nazimabad - Block L, North Nazimabad",270000000.0,"Ali Ali Heights 
1st floor flat 
2",Karachi
64,Brand New house for sale 400 sq yards Double Store 9 bed dd,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",8500000.0,"Gulistan e jauhar
400 sq yards Hous",Karachi
65,URGENT SALE CHANCE DEAL,"Kings Classic, Gulistan-e-Jauhar - Block 7",6000000.0,"CHANCE DEAL URGENT SALE
BRAND NEW P",Karachi
66,CHANCE DEALb URGENT SALE,"Sanober Twin Tower, Saadi Road",0.0,"URGENT FOR SALE 
BRAND NEW PROJECT",Karachi
67,"Brand New Flat 900 sq. ft. in Scheme 33 P. B. C. H. Society, Gulshan Town","Pilibhit Cooperative Housing Society, Scheme 33 - Sector 18-A",70000000.0,A Brand New 900 square feet Extra O,Karachi
68,Askari 5 Flat Sized 2700 Square Feet Is Available,"Askari 5, Malir Cantonment",250000000.0,If you are interested in buying a F,Karachi
69,2700 Square Feet Flat Available In Askari 5 - Sector J For sale,"Askari 5 - Sector J, Askari 5",8500000.0,A Flat like this can be hard to com,Karachi
70,luxurious Full floor 03 bed DD apartment available for sale,"Nishat Commercial Area, DHA Phase 6",0.0,"Proper family building

Full floor",Karachi
71,luxurious proper 02 bed DD apartment available for sale,"Sehar Commercial Area, DHA Phase 7",0.0,"proper family building

2 bedroom i",Karachi
72,proper 03 bed DD apartment available for sale,"Clifton, Karachi",0.0,"Clifton block 5 
Small complex 
3 b",Karachi
73,luxurious proper 02 bed DD apartment available for sale,"Sehar Commercial Area, DHA Phase 7",8900000.0,"proper family building

Bungalow fa",Karachi
74,luxurious proper 02 bed DD apartment available for sale with lift,"Bukhari Commercial Area, DHA Phase 6",0.0,"proper family building

proper 02 b",Karachi
75,Owner Built 1 Kanal High Quality House With Large Lawn And Back Open To Park,"Bahria Town Phase 4, Bahria Town Rawalpindi",750000000.0,Triple Storey Owner Built 1 Kanal H,Rawalpindi
76,Low Price 10 Marla Corner House With Lawn At A Peaceful Location,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0,"Corner 10 Marla House With Lawn 
Pr",Rawalpindi
77,Amazing 12 Marla House On 60ft Boulevard Near Future World School,"Bahria Town Phase 8, Bahria Town Rawalpindi",237100000.0,Amazing 12 Marla House On 60ft Boul,Rawalpindi
78,House available forsale in green villas adiala road rawalpindi,"Snober City - Green Villas, Snober City",0.0,Brand new proper double unit house,Rawalpindi
79,Brand new house available forsale in adiala road snober city rawalpindi,"Snober City, Adiala Road",0.0,Brand new house available forsale i,Rawalpindi
80,Park Street Front Open 7 Marla Used House for Sale,"Bahria Town Phase 8 - Abu Bakar Block, Bahria Town Phase 8 - Safari Valley",3700000.0,"Park Street 
Front Open 
Most Prime",Rawalpindi
81,7 mrla brand new double unit house available for sale in usman block phase 8,"Bahria Town Phase 8 - Usman Block, Bahria Town Phase 8 - Safari Valley",290000000.0,7 mrla brand new double unit house,Rawalpindi
82,5 mrla brand new single unit house available for sale in phase 8 ali block,"Bahria Town Phase 8 - Ali Block, Bahria Town Phase 8 - Safari Valley",650000000.0,5 mrla brand new single unit house,Rawalpindi
83,1 Kanal And 5 Marla Luxury House In Bahria Town,"Bahria Town Phase 3, Bahria Town Rawalpindi",0.0,1 kanal and 5 Marla beautiful House,Rawalpindi
84,"Flat For sale In Rs. 31,500,000","Askari 14, Rawalpindi",0.0,3 bed SOUTH FACING FLAT FOR SALE As,Rawalpindi
85,Park Face 25 Marla House With Large Decorated Lawn And Huge Car Porch,"Bahria Town Phase 8, Bahria Town Rawalpindi",120000000.0,Amazing House With Simple And Decen,Rawalpindi
86,8 Marla Corner 5 Bed Double Unit House Near To Park,"Bahria Town Phase 8 - Safari Valley, Bahria Town Phase 8",150000000.0,Map Of The House Designed Ideally F,Rawalpindi
87,10 Marla Double Story House Available For Sale In The Heart Of Media Town Block D,"Media Town, Rawalpindi",0.0,Experience luxurious living in this,Rawalpindi
88,Boulevard Back 12.5 Marla Double Unit Lawn House For Sale,"Bahria Town Phase 8 - Block B, Bahria Town Phase 8",0.0,12.5 Marla Boulevard back Beautiful,Rawalpindi
89,Boulevard Facing 02 Bed Apartment For Sale,"Bahria Spring North, Bahria Town Phase 7",0.0,"Bahria Town Phase 07 
Spring North",Rawalpindi
90,Front Open One Bed Apartment For Sale With Gas,"Hub Commercial, Bahria Town Phase 8 - Safari Valley",0.0,"Bahria Town Phase 08 
Hub Commercia",Rawalpindi
91,02 Bed Family Apartment For sale,"Bahria Business District, Bahria Town Phase 8",7500000.0,"Bahria town phase 8 Islamabad. 
Pri",Rawalpindi
92,Beautifull Designed Brand New House Availabled For Sale in the Heart of Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",4000000.0,"MBS REAL ESTATE &amp; BUILDERS

Nic",Rawalpindi
93,7 marla fully renovated like Brand new & Gass installed for sale in bahria town phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",8500000.0,"MBS REAL ESTATE &amp; BUILDERS

Nic",Rawalpindi
94,Beautifull Designed Brand New House Availabled For Sale in the Heart of Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0,"MBS REAL ESTATE &amp; BUILDERS

Nic",Rawalpindi
95,Beautifull Designed Brand New House Availabled For Sale in the Heart of Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",450000000.0,"Designer House For Sale
At The Cent",Rawalpindi
96,Beautifull Designed Brand New House Availabled For Sale in the Heart of Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0,"Designer House For Sale
At The Cent",Rawalpindi
97,Beautifull Designed Brand New House Availabled For Sale in the Heart of Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0,"Designer House For Sale
At The Cent",Rawalpindi
98,2 Bed Apartment for Sale On 3rd Floor in Rafi commercial in Bahria Town Phase 8,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0,"MBS REAL ESTATE &amp; BUILDERS 
Eve",Rawalpindi
99,2 Bed Apartment For Sale On 2nd Floor in Bahria Spring North Phase 7,"Bahria Spring North, Bahria Town Phase 7",50000000.0,"MBS REAL ESTATE &amp; BUILDERS 
Eve",Rawalpindi
100,2 Kanal 10 Marla Farm House Is Available For Sale In Police Officers Colony Abbottabad,"Police Officers Colony, Abbottabad",150000000.0,2 Kanal 10 Marla Farm House Is Avai,Abbottabad
101,Hotel suit apartment for sale on 3 years instalment plan,"Kuzagali, Abbottabad",6800000.0,Hotel suit apartment for sale on 3,Abbottabad
102,7 Marla House,"Maira Muzzafar, Abbottabad",4500000.0,7 Marla single story house located,Abbottabad
103,4500 Square Feet House For Sale In Habibullah Colony,"Habibullah Colony, Abbottabad",0.0,Kanal House for sale located at Hab,Abbottabad
104,Luxury 3 Bedroom Apartment Is Available on Easy Installment Plan in Nathia Gali,"Nathia Gali, Abbottabad",350000000.0,*Pine Rock Apartments A marvel of c,Abbottabad
105,House for sale,"Gulfam Town Society, Abbottabad",9600000.0,7.85 Marla newly constructed house,Abbottabad
106,One Bed Studio Apartment On Installments In Khaira Gali Murree,"Khaira Gali, Abbottabad",0.0,We are offering service apartments,Abbottabad
107,4 Marla Single Storey House,"Thanda Choha, Abbottabad",0.0,4 Marla single Storey House for sal,Abbottabad
108,5 Marla Single Storey House,"Bilal Town, Abbottabad",0.0,5 Marla single Storey House for sal,Abbottabad
109,22 Marla House for sale,"Usmanabad, Abbottabad",7500000.0,22 Marla house for sale. Corner plo,Abbottabad
110,6.5 Marla House,"Murree Road, Abbottabad",0.0,6.5 Marla house for sale located at,Abbottabad
111,7 Marla double story house for sale,"Javaid Shahid Road, Abbottabad",0.0,7 Marla double story house located,Abbottabad
112,Amazing Designer House Is Available At Very Out Class Location Kaghan Colony Mandian Abbottabad.,"Kaghan Colony, Abbottabad",250000000.0,Amazing designer house is available,Abbottabad
113,8 Marla House Available For Sale At Kala Pul Abbottabad,"Karakoram Highway, Abbottabad",440000000.0,8 Marla House Available For Sale At,Abbottabad
114,4 Marla House for sale,"Maira Muzzafar, Abbottabad",0.0,4 Marla single story house located,Abbottabad
115,5 Marla House for sale,"Others, Abbottabad",0.0,5 Marla single story house located,Abbottabad
116,House for sale,"Small Industry Road, Abbottabad",9000000.0,6.5 Marla double story house locate,Abbottabad
117,"Khaira Gali-a Place Where You Find Your Peace, Most Stunning Views And Architecture Flat For Sale","Khaira Gali, Abbottabad",8000000.0,UNITY ESTATES presenting yet anothe,Abbottabad
118,House For sale In Gohar Ayub Town Gohar Ayub Town,"Gohar Ayub Town, Abbottabad",0.0,A House like this can be hard to co,Abbottabad
119,Get In Touch Now To Buy A House In Officers Colony,"Officers Colony, Abbottabad",820000000.0,Whatever kind of House you are look,Abbottabad
120,10 Marla House In Central Habibullah Colony For sale,"Habibullah Colony, Abbottabad",0.0,House comes with different bedroom,Abbottabad
121,Well-constructed House Available For Sale In Supply,"Supply, Abbottabad",0.0,Know that this House right here is,Abbottabad
122,Ready To Buy A House In Bilal Town Bilal Town,"Bilal Town, Abbottabad",0.0,"Of course, if you're looking for Ho",Abbottabad
123,Ready To Buy A House 8 Marla In Jhangi Syedan,"Jhangi Syedan, Abbottabad",0.0,A House that is located in the prim,Abbottabad
124,Double Storey House Available For Sale,"Supply, Abbottabad",0.0,Double Storey House Available For s,Abbottabad
125,A Good Option For Sale Is The House Available In Others In Alipur,"Abdul Hakim, Punjab",0.0,A high-end property for sale doesn',Abdul_Hakim
126,Your Dream Prime Location 15 Marla House Is Available In Abdul Hakim,"Abdul Hakim, Punjab",0.0,This House available for sale is pe,Abdul_Hakim
127,5 Marla House Is Available In location,"Abdul Hakim, Punjab",300000000.0,Want the perfect space and a good b,Abdul_Hakim
128,gharrr,"Abdul Hakim, Punjab",0.0,gharrrr,Abdul_Hakim
129,Great Opportunity For You To Have The Property Of Your Choice,"Abdul Hakim, Punjab",750000000.0,"Block BB
Garage
Good Location. 
Rea",Abdul_Hakim
130,5 Marla House Is Available For Sale In location,"Abdul Hakim, Punjab",0.0,This House in Abdul Hakim is no les,Abdul_Hakim
131,1 Kanal House For Sale In Abdul Hakim,"Abdul Hakim, Punjab",0.0,The House has a state of the art ar,Abdul_Hakim
132,6 Marla ka acha plot,"Abdul Hakim, Punjab",0.0,If you're looking for 6 Marla prope,Abdul_Hakim
133,test 1.04p,"Abdul Hakim, Punjab",3400000.0,erwe,Abdul_Hakim
134,test Junaid 12,"Abdul Hakim, Punjab",12120000000.0,"large number of images test, more t",Abdul_Hakim
135,Test Junaid,"Abdul Hakim, Punjab",233200000.0,"This is test listing, required no",Abdul_Hakim
136,Test area unit nine,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
137,Test area unit nine,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
138,Test area unit eight,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
139,Test area unit seven,"Abdul Hakim, Punjab",250000000.0,This is area unit,Abdul_Hakim
140,Test area unit six,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
141,Test area unit five,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
142,Test area unit five,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
143,Test area unit four,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
144,Test area unit three,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
145,Test area unit 2,"Abdul Hakim, Punjab",1100000.0,This is area unit,Abdul_Hakim
146,Test area unit one,"Abdul Hakim, Punjab",0.0,This is area unit,Abdul_Hakim
147,5 Marla House For Sale In Others,"Others, Alipur",2500000.0,This listing from Others is perfect,Ahmedpur_East
148,home,"Rajput Colony, Alipur",8000000.0,Ne,Ahmedpur_East
149,House For Sale,"Alipur, Punjab",0.0,"House For Sale 
Best option for liv",Ahmedpur_East
150,House For Sale In Alipur Near Rashid Minhas Hss Alipur,"Others, Alipur",0.0,Take a decision today to own your H,Ahmedpur_East
151,urgent sale 4 marla house,"Alipur - Uch Sharif Road, Alipur",4200000.0,4 marla house urgent sale The Best,Ahmedpur_East
152,House For Sale In Alipur - Uch Sharif Road Alipur - Uch Sharif Road,"Alipur - Uch Sharif Road, Alipur",4600000.0,Here's the tactfully chosen House f,Ahmedpur_East
153,House For Sale Situated In Alipur - Uch Sharif Road,"Alipur - Uch Sharif Road, Alipur",3800000.0,Irresistible House for sale with un,Ahmedpur_East
154,10 Marla Constructed House In Uch Shareef City,"Alipur - Uch Sharif Road, Alipur",4000000.0,"6 Rooms. 
1 washroom. 
1 Kitchen.",Ahmedpur_East
155,Ideally Located House For Sale In Alipur - Uch Sharif Road Available,"Alipur - Uch Sharif Road, Alipur",6500000.0,A 6-marla Furnished House Having 3,Ahmedpur_East
156,5 Marla Double Storey House For Sale,"Sabtain Town, Alipur",4200000.0,5 Marla Double Story House For Sale,Ahmedpur_East
157,House For Sale In Gujjar Chowk Alipur,"Others, Alipur",8500000.0,10 Marla House For Sell Double Stor,Ahmedpur_East
158,1350  Square Feet House For Sale In Alipur - Uch Sharif Road,"Alipur - Uch Sharif Road, Alipur",6500000.0,A 6-Marla Furnished House is for Sa,Ahmedpur_East
159,Selling House Ground Plus One Furnished Argent Sale Contact,"Alipur - Uch Sharif Road, Alipur",3800000.0,House For Sale Ground Plus One 10 M,Ahmedpur_East
160,House For Sale In Alipur Nearby To Kalma Chowk And Schools,"Others, Alipur",0.0,"Newly built 2017 house for sale. 
S",Ahmedpur_East
161,6 Marla House For Sale,"Alipur - Uch Sharif Road, Alipur",0.0,"Luxury house for sale
3 bedroom, 3",Ahmedpur_East
162,House For Sale With 4 Streets Around In Main Market  Shah Faisal Chowk Alipur,"Others, Alipur",0.0,Golden Place With 4 Streets Around,Ahmedpur_East
163,5 Marla Corner House For Sale,"Rajput Colony, Alipur",0.0,"Good Location. 
Reasonable Price.",Ahmedpur_East
164,5 Marla House For Sale,"Rajput Colony, Alipur",5000000.0,"House for sale
Corner Location 


N",Ahmedpur_East
165,10 marla,"Rajput Colony, Alipur",0.0,wants to,Ahmedpur_East
166,5 Marla Well Furnished House Is Available For Sale In Rajput Colony Alipur,"Rajput Colony, Alipur",9000000.0,Purchase your property today to sec,Ahmedpur_East
167,House Is Available For Sale,"Rajput Colony, Alipur",9000000.0,"New House Is Available For Sale  
A",Ahmedpur_East
168,10 Marla House Is Available For Sale,"Rajput Colony, Alipur",9500000.0,10 Marla House Is Available For Sal,Ahmedpur_East
169,Alipur Uch Sharif Road House For Sale Sized 4500 Square Feet,"Alipur - Uch Sharif Road, Alipur",0.0,Check Out Our Offer For The Best Ho,Ahmedpur_East
170,test listing junaid 2,"Alipur, Punjab",210000000.0,this is test listing for,Ahmedpur_East
171,test listing junaid 2,"Alipur, Punjab",210000000.0,this is test listing for,Ahmedpur_East
